analysis_id,reasoning_regime,model,budget,information_condition,action_space,execution_policy,population,oracle,contrast,N,c4_usable_n,c4_unusable_n,as_executed_mean,parent_gate_mean,difference_gate_minus_actual,changed_firms
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C5-C4,575,88,487,0.11527067698397228,0.11527067698397228,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C4R-C4,575,88,487,-0.002293971037103577,-0.061526989470409056,-0.05923301843330548,97
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C4R,575,88,487,0.02201474400324739,0.020412306201232137,-0.0016024378020152545,10
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C6-EX,575,88,487,0.045249229632893934,0.03864461019648168,-0.006604619436412253,9
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C5-C4,575,88,487,0.011850365368806452,0.011850365368806452,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C4R-C4,575,88,487,-0.0008066933466406444,-0.006381626301968669,-0.0055749329553280245,28
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C4R,575,88,487,0.007990432547296096,0.0013648002148967896,-0.006625632332399306,43
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C6-EX,575,88,487,0.011440512413053458,0.005352573091421248,-0.006087939321632209,34
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C5-C4,575,88,487,0.0320760658804888,0.0320760658804888,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C4R-C4,575,88,487,-0.007476401474798731,-0.017915004525704083,-0.01043860305090535,13
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C4R,575,88,487,0.009025870593614687,0.007383007501927476,-0.0016428630916872113,16
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C6-EX,575,88,487,0.011390840086019323,0.009194857018352978,-0.002195983067666345,18
PARENT_GATE_SENSITIVITY,BASELINE,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C5-C4,575,575,0,-0.07146514455847452,-0.07146514455847452,0.0,0
