table_id,row_id,chapter,analysis_id,statistical_path,model,oracle,reasoning_regime,execution_policy,population,action_space,budget,information_condition,lhs,rhs,N,estimate,ci_low,ci_high,raw_p,holm_p,canonical_file,canonical_key_sha256
PRIMARY,PRIMARY_000,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,-0.0022939710371035,-0.0562730284949832,0.0518944620007029,0.942905709429057,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_001,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.1427225405629058,0.0890548889385316,0.1993198983210639,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_002,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.1152706769839722,0.0470752482570536,0.1896338496007344,0.0011998800119988,0.0083991600839916,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_003,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,-0.0714651445584745,-0.1648773120145177,0.0199020479728405,0.1297870212978702,0.648935106489351,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_004,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.0220147440032473,-0.0241003261883717,0.0664753555719942,0.3435656434356564,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_005,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C4R,575,0.0180376742055013,-0.0547641299100634,0.0895263426832773,0.6157384261573843,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_006,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C6-EX,575,0.0452492296328939,-0.0155136787280897,0.1058944052917948,0.1331866813318668,0.648935106489351,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_007,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,0.0576216387179675,-0.007289794315225,0.1227989898682762,0.0807919208079192,0.4847515248475152,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_008,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,-0.0008066933466406,-0.0068637281835575,0.0045299124815512,0.8127187281271873,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_009,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.0188831093344678,0.0143422062230292,0.0236536321471033,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
