arm,model,budget,contrast,oracle,N,estimate,ci_low,ci_high,raw_p,neg,pos,holm_p
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C4R-C4,alpha,575,-0.002293971037103577,-0.056273028494983286,0.05189446200070299,0.942905709429057,5286,4714,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C4R-C4,alpha,575,0.1427225405629058,0.08905488893853163,0.19931989832106395,0.00019998000199980003,0,10000,0.0015998400159984002
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C5-C4,alpha,575,0.11527067698397228,0.04707524825705367,0.18963384960073443,0.0011998800119988001,5,9995,0.008399160083991601
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C5-C4,alpha,575,-0.07146514455847452,-0.16487731201451777,0.019902047972840526,0.1297870212978702,9352,648,0.648935106489351
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C6-E-C4R,alpha,575,0.02201474400324739,-0.024100326188371754,0.06647535557199424,0.34356564343565643,1717,8283,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C6-E-C4R,alpha,575,0.018037674205501335,-0.05476412991006343,0.08952634268327733,0.6157384261573843,3078,6922,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C6-E-C6-EX,alpha,575,0.045249229632893934,-0.015513678728089793,0.10589440529179481,0.1331866813318668,665,9335,0.648935106489351
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C6-E-C6-EX,alpha,575,0.057621638717967535,-0.007289794315225047,0.12279898986827628,0.0807919208079192,403,9597,0.48475152484751527
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C4R-C4,beta,575,-0.0008066933466406444,-0.006863728183557544,0.0045299124815512595,0.8127187281271873,5937,4063,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C4R-C4,beta,575,0.018883109334467806,0.014342206223029251,0.0236536321471033,0.00019998000199980003,0,10000,0.0015998400159984002
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C5-C4,beta,575,0.011850365368806454,0.00483475813980099,0.018712128248526114,0.0021997800219978004,10,9990,0.015398460153984602
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C5-C4,beta,575,-0.009724815215048413,-0.05547060678951565,0.03393769570577178,0.6803319668033196,6599,3401,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C6-E-C4R,beta,575,0.007990432547296096,-0.0012554643790049153,0.019866140744343376,0.100989901009899,504,9496,0.45095490450954906
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C6-E-C4R,beta,575,0.004945585628469709,-0.01486993206967483,0.0236632595498194,0.6011398860113989,3005,6995,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C6-E-C6-EX,beta,575,0.011440512413053458,0.001973930422876625,0.02395979372117135,0.010998900109989001,54,9946,0.065993400659934
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C6-E-C6-EX,beta,575,0.01371324092045371,-0.0022029273158679277,0.030366958299407627,0.09019098090190981,450,9550,0.45095490450954906
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C4R-C4,gamma,575,-0.007476401474798731,-0.02544934201078763,0.008898917230130983,0.40535946405359463,7974,2026,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C4R-C4,gamma,575,0.029091094553785484,0.014927229585057867,0.04495824759558673,0.00039996000399960006,1,9999,0.0031996800319968005
