item_code,statement_type,item_name_clean,item_name_raw,stage2_role,stage2_name_match,is_summary,indent_level,non_missing_rate,non_missing_count,unit_inferred,candidate_role_hint,status,fix_note,original_column_name,sample_min,sample_p1,sample_median,sample_p99,sample_max
U01B100000000,손익계산서,매출액(수익),매출액(수익),매출액,OK,True,0,0.9126,4331,천원,,OK,,[U01B100000000]매출액(수익)(*)(IFRS)(천원),0.0,5459900.7,134543196.0,14880028813.799894,65308350000.0
U01B100010000,손익계산서,수출,*수출,,,False,0,0.9126,4331,천원,,OK,,[U01B100010000]*수출(IFRS)(천원),0.0,0.0,0.0,3112167999.999975,37493664000.0
U01B100010100,손익계산서,내수,*내수,,,False,0,0.9126,4331,천원,,OK,,[U01B100010100]*내수(IFRS)(천원),0.0,0.0,0.0,1985586500.0,27814686000.0
U01B100010200,손익계산서,특수관계자 매출(수익),*특수관계자 매출(수익),,,False,0,0.9126,4331,천원,,OK,,[U01B100010200]*특수관계자 매출(수익)(IFRS)(천원),0.0,0.0,0.0,2890240.8999999347,1610573129.0
U01B100010300,손익계산서,상품매출액,상품매출액,,,False,0,0.9126,4331,천원,,OK,,[U01B100010300]   상품매출액(IFRS)(천원),-21010.0,0.0,0.0,2409653726.79998,22536852000.0
U01B100010400,손익계산서,상품수출매출,*상품수출매출,,,False,0,0.9126,4331,천원,,OK,,[U01B100010400]   *상품수출매출(IFRS)(천원),0.0,0.0,0.0,0.0,6946488000.0
U01B100010500,손익계산서,제품매출액,제품매출액,,,False,0,0.9126,4331,천원,,OK,,[U01B100010500]   제품매출액(IFRS)(천원),0.0,0.0,897843.0,1664887730.999996,12442518963.0
U01B100010600,손익계산서,제품수출매출,*제품수출매출,,,False,0,0.9126,4331,천원,,OK,,[U01B100010600]   *제품수출매출(IFRS)(천원),0.0,0.0,0.0,9621734.799999949,5367021000.0
U01B100010700,손익계산서,"재화의 판매로 인한 수익(상품,제품매출액)","재화의 판매로 인한 수익(상품,제품매출액)",,,False,0,0.9126,4331,천원,,OK,,"[U01B100010700]   재화의 판매로 인한 수익(상품,제품매출액)(IFRS)(천원)",0.0,0.0,0.0,1109409929.5999944,62656490000.0
U01B100010800,손익계산서,수출매출,*수출매출,,,False,0,0.9126,4331,천원,,OK,,[U01B100010800]   *수출매출(IFRS)(천원),0.0,0.0,0.0,0.0,1753525822.0
U01B100010900,손익계산서,건설계약으로 인한 수익(공사수익),건설계약으로 인한 수익(공사수익),,,False,0,0.9126,4331,천원,,OK,,[U01B100010900]   건설계약으로 인한 수익(공사수익)(IFRS)(천원),0.0,0.0,0.0,1825813471.2999804,16076094183.0
U01B100011000,손익계산서,해외건설계약,*해외건설계약,,,False,0,0.9126,4331,천원,,OK,,[U01B100011000]   *해외건설계약(IFRS)(천원),0.0,0.0,0.0,0.0,278497000.0
U01B100011100,손익계산서,분양수익,분양수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011100]   분양수익(IFRS)(천원),-505413.0,0.0,0.0,169187329.29999965,1541813000.0
U01B100011200,손익계산서,용역의 제공으로 인한 수익(매출액),용역의 제공으로 인한 수익(매출액),,,False,0,0.9126,4331,천원,,OK,,[U01B100011200]   용역의 제공으로 인한 수익(매출액)(IFRS)(천원),0.0,0.0,0.0,1025981768.0999948,18335034000.0
U01B100011300,손익계산서,임대수익,임대수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011300]   임대수익(IFRS)(천원),0.0,0.0,0.0,8415527.799999913,237031877.0
U01B100011400,손익계산서,수수료수익,수수료수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011400]   수수료수익(IFRS)(천원),0.0,0.0,0.0,10310394.799999995,456301382.0
U01B100011500,손익계산서,로열티수익,로열티수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011500]   로열티수익(IFRS)(천원),-733000.0,0.0,0.0,7095168.299999955,1271847000.0
U01B100011600,손익계산서,용지매출수익,용지매출수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011600]   용지매출수익(IFRS)(천원),0.0,0.0,0.0,0.0,24243840.0
U01B100011700,손익계산서,지분법이익,지분법이익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011700]   지분법이익(IFRS)(천원),-37165000.0,0.0,0.0,0.0,442401000.0
U01B100011800,손익계산서,금융수익,금융수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011800]   금융수익(IFRS)(천원),0.0,0.0,0.0,0.0,7301358.0
U01B100011900,손익계산서,배당수익,배당수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100011900]   배당수익(IFRS)(천원),0.0,0.0,0.0,7644427.399999856,476253756.0
U01B100012000,손익계산서,이자수익,이자수익,,,False,0,0.9126,4331,천원,,OK,,[U01B100012000]   이자수익(IFRS)(천원),0.0,0.0,0.0,0.0,179698033.0
