standard_item,statement_type,item_code,item_name,original_column_name,non_missing_rate,stage2_name_match,status,fix_note
매출액,손익계산서,U01B100000000,매출액(수익),[U01B100000000]매출액(수익)(*)(IFRS)(천원),0.9126,OK,OK,
매출원가,손익계산서,U01B200000000,매출원가,[U01B200000000]매출원가(*)(IFRS)(천원),0.9126,OK,OK,
매출총이익,손익계산서,U01B201014400,매출총이익(손실),[U01B201014400]매출총이익(손실)(IFRS)(천원),0.9126,OK,OK,
감가상각비,손익계산서,U01B350014100,감가상각비,[U01B350014100]   감가상각비(IFRS)(천원),0.9126,OK,OK,
무형자산상각비,손익계산서,U01B350014300,기타무형자산상각비,[U01B350014300]   기타무형자산상각비(IFRS)(천원),0.9126,OK,OK,
영업이익,손익계산서,U01B430000000,(정상)영업손익(계산수치),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),0.9126,MISMATCH,OK,"inventory: ""* (정상)영업손익(계산수치)"" — Task 6 코드 매칭이라 OK"
금융비용,손익계산서,U01B550000000,금융원가,[U01B550000000]금융원가(*)(IFRS)(천원),0.9126,MISMATCH,OK,"inventory: ""금융원가"" ≠ Stage2 role ""금융비용"" — _task1 ROLE_HINTS에 ""^금융원가"" 추가 필요"
법인세차감전순이익,손익계산서,U01B700000000,법인세비용차감전순이익(손실),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),0.9126,MISMATCH,OK,"inventory: ""법인세비용차감전순이익(손실)"" — Task 6 코드 매칭이라 OK"
계속사업이익,손익계산서,U01B800000000,계속영업이익(손실),[U01B800000000]계속영업이익(손실)(IFRS)(천원),0.9126,MISMATCH,OK,"inventory: ""계속영업이익(손실)"" — Task 6 코드 매칭이라 OK"
당기순이익,손익계산서,U01B840000000,당기순이익(손실),[U01B840000000]당기순이익(손실)(IFRS)(천원),0.9126,OK,OK,
총포괄이익,손익계산서,U01B900000000,총포괄손익,[U01B900000000]총포괄손익(IFRS)(천원),0.9126,MISMATCH,OK,"inventory: ""총포괄손익"" — Task 6 코드 매칭이라 OK"
총자산,재무상태표,U01A100000000,자산,[U01A100000000]자산(*)(IFRS)(천원),0.9126,OK,OK,"inventory: ""자산"" ≠ Stage2 role ""총자산"" — Task 6 코드 매칭이라 OK"
비유동자산,재무상태표,U01A110000000,비유동자산,[U01A110000000]   비유동자산(*)(IFRS)(천원),0.9126,OK,OK,
